الرقم;الشركة الناشئة;الدولة;المجال;وصف النشاط
220;Starship Technologies US;;الروبوتات اللوجستية;روبوتات توصيل ذاتية القيادة للميل الأخير.
221;Refraction AI;;الروبوتات اللوجستية;مركبات صغيرة ذاتية القيادة لتوصيل البضائع.
222;Nimble Robotics;;اللوجستيات الذكية;روبوتات لفرز الطلبات في المستودعات.
223;RightHand Robotics;;روبوتات المستودعات;روبوتات لالتقاط المنتجات في المخازن.
224;Covariant AI;;الروبوتات الصناعية;أنظمة ذكاء اصطناعي لتشغيل الروبوتات الصناعية.
225;Kindred AI;;الروبوتات الذكية;تعلم آلي يسمح للروبوتات بالتعامل مع المنتجات المختلفة.
226;Fictiv;;التصنيع الرقمي;منصة تصنيع رقمي للنماذج الأولية والمنتجات الصناعية.
227;Fast Radius;;التصنيع المتقدم;إنتاج قطع صناعية باستخدام الطباعة ثلاثية الأبعاد.
228;Relativity Space;;الصناعة الفضائية;تصنيع الصواريخ باستخدام الطباعة ثلاثية الأبعاد.
229;Firefly Aerospace;;الصناعة الفضائية;إطلاق أقمار صناعية صغيرة إلى المدار.
230;Spire Global;;تحليل البيانات الفضائية;أقمار صناعية لمراقبة الطقس والملاحة البحرية.
231;Capella Space;;رادار فضائي;أقمار صناعية لرصد الأرض باستخدام الرادار.
232;Astra Space;;إطلاق الأقمار الصناعية;خدمات إطلاق منخفضة التكلفة للأقمار الصناعية.
233;Momentus Space;;النقل الفضائي;مركبات لنقل الأقمار الصناعية بين المدارات.
234;Astroscale US;;تنظيف الفضاء;إزالة الحطام الفضائي من المدار.
235;Orbit Fab;;البنية التحتية الفضائية;تطوير محطات تزويد الوقود للأقمار الصناعية.
236;Exotrail US;;الدفع الفضائي;أنظمة دفع كهربائية للأقمار الصناعية الصغيرة.
237;Gridware;;الشبكات الكهربائية;أجهزة استشعار لمراقبة خطوط الكهرباء.
238;SparkMeter;;الشبكات الذكية;برمجيات لإدارة شبكات الكهرباء في الدول النامية.
239;AutoGrid;;الذكاء الاصطناعي للطاقة;تحليل بيانات الطاقة لتحسين الشبكات الكهربائية.
240;Uplight;;الطاقة الرقمية;برمجيات لإدارة استهلاك الطاقة للمرافق الكهربائية.
241;Arcadia Power;;الطاقة النظيفة;منصة تمكن المستهلكين من شراء الطاقة المتجددة.
242;Common Energy;;الطاقة الشمسية المجتمعية;منصة استثمار في مشاريع الطاقة الشمسية المجتمعية.
243;Voltus;;أسواق الطاقة;منصة تربط الشركات بأسواق الطاقة لتقليل الاستهلاك.
244;Stem Inc.;;إدارة البطاريات;أنظمة ذكاء اصطناعي لإدارة بطاريات تخزين الطاقة.
245;Fluence Spinout Labs;;تخزين الطاقة;تطوير أنظمة بطاريات للشبكات الكهربائية.
246;ESS Inc.;;بطاريات الحديد;بطاريات تخزين طاقة طويلة المدى للشبكات الكهربائية.
247;Energy Vault;;تخزين الطاقة;أنظمة تخزين طاقة بالجاذبية.
248;Commonwealth Fusion Systems;;الاندماج النووي;بناء مفاعلات اندماج نووي تجارية.
249;Zap Energy;;الاندماج النووي;تقنية اندماج نووي باستخدام البلازما.
250;TAE Technologies;;الاندماج النووي;تطوير مفاعلات اندماج تعتمد تفاعلات بورون.
251;First Light Fusion US;;الاندماج النووي;تطوير طاقة اندماج باستخدام ضغط المقذوفات.
252;Focused Energy;;الاندماج النووي;مفاعلات اندماج تعتمد الليزر لإنتاج الطاقة.
253;Anthropic;;الذكاء الاصطناعي;تطوير نماذج لغوية كبيرة آمنة للاستخدام في المؤسسات والبحث العلمي.
254;Adept AI;;الذكاء الاصطناعي;بناء وكلاء ذكاء اصطناعي قادرين على تنفيذ المهام داخل البرمجيات المختلفة.
255;Cohere;;الذكاء الاصطناعي;نماذج لغوية للشركات لتطوير تطبيقات الذكاء الاصطناعي التوليدي.
256;Databricks AI Labs;;تحليل البيانات;منصة تحليل بيانات ضخمة وتعلم آلي للشركات.
257;Weights & Biases;;تطوير الذكاء الاصطناعي;أدوات لإدارة تجارب نماذج التعلم الآلي.
258;Runway ML;;الذكاء الاصطناعي الإبداعي;منصة إنشاء فيديو وصور باستخدام الذكاء الاصطناعي التوليدي.
259;Stability AI US;;الذكاء الاصطناعي التوليدي;تطوير نماذج توليد الصور والفيديو بالذكاء الاصطناعي.
260;ElevenLabs;;الصوت الاصطناعي;إنشاء أصوات بشرية اصطناعية باستخدام الذكاء الاصطناعي.
261;Synthesia;;الفيديو بالذكاء الاصطناعي;إنشاء فيديوهات تعليمية باستخدام شخصيات افتراضية.
262;Decagon AI;;الذكاء الاصطناعي لخدمة العملاء;وكلاء ذكاء اصطناعي لإدارة المحادثات مع العملاء عبر البريد والدردشة.
263;Hex Technologies;;تحليل البيانات;منصة تحليل بيانات تعاونية للفرق التقنية.
264;Explo;;تحليل البيانات;أدوات لإنشاء لوحات معلومات للعملاء داخل التطبيقات.
265;Mintlify;;برمجيات المطورين;إنشاء وثائق برمجية تلقائياً باستخدام الذكاء الاصطناعي.
266;Sourcegraph;;تحليل الكود;منصة ذكاء اصطناعي لفهم الشيفرة البرمجية في المشاريع الكبيرة.
267;Ironclad;;LegalTech;إدارة العقود القانونية باستخدام الذكاء الاصطناعي.
268;Cape Privacy;;الأمن السيبراني;حماية البيانات الحساسة أثناء تشغيل نماذج الذكاء الاصطناعي.
269;Token Security;;الأمن السيبراني;حماية البيانات والرموز الرقمية في التطبيقات السحابية.
270;Irregular;;الأمن السيبراني;كشف الاحتيال المالي باستخدام تحليل البيانات.
271;Socure;;التكنولوجيا المالية;التحقق من الهوية الرقمية باستخدام الذكاء الاصطناعي.
272;Unit Finance;;FinTech;بنية تحتية لبناء خدمات مصرفية داخل التطبيقات.
273;Mercury;;الخدمات المصرفية للشركات الناشئة;حسابات مصرفية رقمية للشركات التقنية.
274;Brex;;التكنولوجيا المالية;بطاقات ائتمان ومنصة إدارة مالية للشركات الناشئة.
275;Ramp;;FinTech;منصة إدارة نفقات الشركات باستخدام الذكاء الاصطناعي.
276;Airwallex US;;المدفوعات الرقمية;خدمات دفع عالمية للشركات الرقمية.
277;Mural Pay;;المدفوعات الدولية;تحويل الأموال بين القارات للشركات الناشئة.
278;Alchemy;;بنية Web3;منصة تطوير تطبيقات البلوكشين.
279;Rivian Labs;;السيارات الكهربائية;تطوير مركبات كهربائية وأنظمة طاقة متقدمة.
280;Lucid Motors Tech;;السيارات الكهربائية;تصميم سيارات كهربائية عالية الأداء.
281;Canoo;;السيارات الكهربائية;مركبات كهربائية معيارية للنقل الحضري.
282;Arrival Automotive;;السيارات الكهربائية;تصنيع مركبات كهربائية تجارية خفيفة.
